piece	div1_nom	div1_num	div2_nom	div2_num	pos	AGRIPPINE	ALBINE	BURRHUS	BRITANNICUS	NARCISSE	NÉRON	GARDES	JUNIE
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	1	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	2	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	3	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	4	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	5	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	6	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	7	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	8	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	9	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	10	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	11	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	12	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	13	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	14	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	15	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	16	1	1	0	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	17	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	18	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	19	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	20	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	21	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	22	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	23	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	24	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	25	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	26	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	27	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	28	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE II	2	29	1	1	1	0	0	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE III	3	30	1	1	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE III	3	31	1	1	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE III	3	32	1	1	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE IV	4	33	0	0	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE IV	4	34	0	0	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE IV	4	35	0	0	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE IV	4	36	0	0	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE IV	4	37	0	0	0	1	1	0	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE PREMIÈRE	5	38	0	0	1	0	1	1	1	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	39	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	40	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	41	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	42	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	43	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	44	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	45	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	46	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	47	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	48	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	49	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	50	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	51	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	52	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	53	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	54	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	55	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	56	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	57	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	58	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	59	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	60	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	61	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	62	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	63	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE II	6	64	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	65	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	66	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	67	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	68	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	69	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	70	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	71	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	72	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	73	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	74	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	75	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	76	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	77	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	78	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	79	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	80	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	81	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	82	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	83	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	84	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	85	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	86	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	87	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	88	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	89	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE III	7	90	0	0	0	0	0	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE IV	8	91	0	0	0	0	1	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE IV	8	92	0	0	0	0	1	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE IV	8	93	0	0	0	0	1	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE IV	8	94	0	0	0	0	1	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE V	9	95	0	0	0	0	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	96	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	97	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	98	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	99	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	100	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	101	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VI	10	102	0	0	0	1	1	0	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VII	11	103	0	0	0	0	1	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VII	11	104	0	0	0	0	1	1	0	1
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VIII	12	105	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE II	2	SCÈNE VIII	12	106	0	0	0	0	1	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	107	0	0	1	0	0	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	108	0	0	1	0	0	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	109	0	0	1	0	0	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	110	0	0	1	0	0	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	111	0	0	1	0	0	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	112	0	0	1	0	0	1	0	0
BRITANNICUS, TRAGÉDIE	ACTE III	3	SCÈNE I	13	113	0	0	1	0	0	1	0	0
