piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	1	ALBINE	ALBINE	<l id='1'>Quoi ! Tandis que Néron s'abandonne au sommeil,</l><l id='2'>Faut-il que vous veniez attendre son réveil ?</l><l id='3'>Qu'errant dans le palais sans suite et sans escorte</l><l id='4'>La mère de César veille seule à sa porte ?</l><l id='5'>Madame, retournez dans votre appartement. </l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	2	AGRIPPINE	AGRIPPINE	<l id='6'>Albine, il ne faut pas s'éloigner un moment.</l><l id='7'>Je veux l'attendre ici. Les chagrins qu'il me cause</l><l id='8'>M'occuperont assez tout le temps qu'il repose.</l><l id='9'>Tout ce que j'ai prédit n'est que trop assuré.</l><l id='10'>Contre Britannicus Néron s'est déclaré. </l><l id='11'>L'impatient Néron cesse de se contraindre,</l><l id='12'>Las de se faire aimer il veut se faire craindre.</l><l id='13'>Britannicus le gêne, Albine, et chaque jour</l><l id='14'>Je sens que je deviens importune à mon tour.</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	3	ALBINE	ALBINE	<l id='15'>Quoi ? Vous à qui Néron doit le jour qu'il respire ?</l><l id='16'>Qui l'avez appelé de si loin à l'empire ?</l><l id='17'>Vous qui déshéritant le fils de Claudius,</l><l id='18'>Avez nommé César l'heureux Domitius ?</l><l id='19'>Tout lui parle, Madame, en faveur d'Agrippine.</l><l id='20' part="i">Il vous doit son amour.</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	4	AGRIPPINE	AGRIPPINE	<l id='20' part="f">Il me le doit, Albine. </l><l id='21'>Tout s'il est généreux lui prescrit cette loi.</l><l id='22'>Mais tout, s'il est ingrat, lui parle contre moi.</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	5	ALBINE	ALBINE	<l id='23'>S'il est ingrat, Madame ; ah ! Toute sa conduite</l><l id='24'>Marque dans son devoir une âme trop instruite.</l><l id='25'>Depuis trois ans entiers qu'a-t-il dit, qu'a-t-il fait, </l><l id='26'>Qui ne promette à Rome un empereur parfait ?</l><l id='27'>Rome depuis deux ans par ses soins gouvernée</l><l id='28'>Au temps de ses consuls croit être retournée,</l><l id='29'>Il la gouverne en père. Enfin Néron naissant</l><l id='30'>A toutes les vertus d'Auguste vieillissant. </l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	6	AGRIPPINE	AGRIPPINE	<l id='31'>Non, non, mon intérêt ne me rend point injuste ;</l><l id='32'>Il commence, il est vrai, par où finit Auguste.</l><l id='33'>Mais crains, que l'avenir détruisant le passé,</l><l id='34'>Il ne finisse ainsi qu'Auguste a commencé.</l><l id='35'>Il se déguise en vain. Je lis sur son visage</l><l id='36'>Des fiers Domitius l'humeur triste, et sauvage.</l><l id='37'>Il mêle avec l'orgueil, qu'il a pris dans leur sang,</l><l id='38'>La fierté des Nérons, qu'il puisa dans mon flanc.</l><l id='39'>Toujours la tyrannie a d'heureuses prémices.</l><l id='40'>De Rome pour un temps Caïus fut les délices, </l><l id='41'>Mais sa feinte bonté se tournant en fureur,</l><l id='42'>Les délices de Rome en devinrent l'horreur.</l><l id='43'>Que m'importe, après tout, que Néron plus fidèle</l><l id='44'>D'une longue vertu laisse un jour le modèle ?</l><l id='45'>Ai-je mis dans sa main le timon de l'État, </l><l id='46'>Pour le conduire au gré du peuple et du Sénat ?</l><l id='47'>Ah ! Que de la patrie il soit, s'il veut, le père.</l><l id='48'>Mais qu'il songe un peu plus qu'Agrippine est sa mère.</l><l id='49'>De quel nom cependant pouvons nous appeler</l><l id='50'>L'attentat que le jour vient de nous révéler ?</l><l id='51'>Il sait, car leur amour ne peut être ignorée,</l><l id='52'>Que de Britannicus Junie est adorée :</l><l id='53'>Et ce même Néron que la vertu conduit,</l><l id='54'>Fait enlever Junie au milieu de la nuit.</l><l id='55'>Que veut-il ? Est-ce haine, est-ce amour qui l'inspire ?</l><l id='56'>Cherche-t-il seulement le plaisir de leur nuire ?</l><l id='57'>Ou plutôt n'est-ce point que sa malignité</l><l id='58'>Punit sur eux l'appui que je leur ai prêté ?</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	7	ALBINE	ALBINE	<l id='59' part="i">Vous leur appui, Madame ?</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	8	AGRIPPINE	AGRIPPINE	<l id='59' part="f">Arrête, chère Albine.</l><l id='60'>Je sais, que j'ai moi seule avancé leur ruine, </l><l id='61'>Que du trône, où le sang l'a dû faire monter</l><l id='62'>Britannicus par moi s'est vu précipiter.</l><l id='63'>Par moi seule éloigné de l'hymen d'Octavie,</l><l id='64'>Le frère de Junie abandonna la vie,</l><l id='65'>Silanus, sur qui Claude avait jeté les yeux, </l><l id='66'>Et qui comptait Auguste au rang de ses aïeux.</l><l id='67'>Néron jouit de tout, et moi pour récompense</l><l id='68'>Il faut qu'entre eux et lui je tienne la balance,</l><l id='69'>Afin que quelque jour par une même loi</l><l id='70'>Britannicus la tienne entre mon fils et moi. </l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	9	ALBINE	ALBINE	<l id='71' part="i">Quel dessein !</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	10	AGRIPPINE	AGRIPPINE	<l id='71' part="f">Je m'assure un port dans la tempête.</l><l id='72'>Néron m'échappera si ce frein ne l'arrête.</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	11	ALBINE	ALBINE	<l id='73'>Mais prendre contre un fils tant de soins superflus ?</l>	
BRITANNICUS, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	12	AGRIPPINE	AGRIPPINE	<l id='74'>Je le craindrais bientôt, s'il ne me craignait plus.</l>	
