piece	div1_nom	div1_num	div2_nom	div2_num	pos	HIPPOLYTE	THÉRAMÈNE	OENONE	PHÈDRE	PANOPE	ARICIE	ISMÈNE	THÉSÉE	GARDES
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	1	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	2	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	3	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	4	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	5	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	6	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	7	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	8	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	9	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	10	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	11	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	12	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	13	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	14	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	15	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE II	2	16	1	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE II	2	17	1	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	18	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	19	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	20	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	21	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	22	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	23	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	24	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	25	0	0	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE III	3	26	0	0	1	1	0	0	0	0	0
