piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	1	HIPPOLYTE	HIPPOLYTE	<l id="1">Le dessein en est pris, je pars, cher Théramène,</l><l id="2">Et quitte le séjour de l'aimable Trézène.</l><l id="3">Dans le doute mortel dont je suis agité,</l><l id="4">Je commence à rougir de mon oisiveté.</l><l id="5">Depuis plus de six mois éloigné de mon père, </l><l id="6">J'ignore le destin d'une tête si chère.</l><l id="7">J'ignore jusqu'aux lieux qui le peuvent cacher.</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	2	THÉRAMÈNE	THÉRAMÈNE	<l id="8">Et dans quels lieux, Seigneur, l'allez-vous donc chercher ?</l><l id="9">Déjà pour satisfaire à votre juste crainte,</l><l id="10">J'ai couru les deux mers que sépare Corinthe. </l><l id="11">J'ai demandé Thésée aux peuples de ces bords</l><l id="12">Où l'on voit l'Achéron se perdre chez les morts.</l><l id="13">J'ai visité l'Élide, et laissant le Ténare,</l><l id="14">Passé jusqu'à la mer, qui vit tomber Icare.</l><l id="15">Sur quel espoir nouveau, dans quels heureux climats</l><l id="16">Croyez-vous découvrir la trace de ses pas ?</l><l id="17">Qui sait même, qui sait si le roi votre père</l><l id="18">Veut que de son absence on sache le mystère ?</l><l id="19">Et si lorsque avec vous nous tremblons pour ses jours,</l><l id="20">Tranquille, et nous cachant de nouvelles amours, </l><l id="21">Ce héros n'attend point qu'une amante abusée...</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	3	HIPPOLYTE	HIPPOLYTE	<l id="22">Cher Théramène, arrête, et respecte Thésée.</l><l id="23">De ses jeunes erreurs désormais revenu,</l><l id="24">Par un indigne obstacle il n'est point retenu ;</l><l id="25">Et fixant de ses voeux l'inconstance fatale, </l><l id="26">Phèdre depuis longtemps ne craint plus de rivale.</l><l id="27">Enfin en le cherchant je suivrai mon devoir,</l><l id="28">Et je fuirai ces lieux que je n'ose plus voir.</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	4	THÉRAMÈNE	THÉRAMÈNE	<l id="29">Hé depuis quand, Seigneur, craignez-vous la présence</l><l id="30">De ces paisibles lieux, si chers à votre enfance, </l><l id="31">Et dont je vous ai vu préférer le séjour</l><l id="32">Au tumulte pompeux d'Athènes et de la cour ?</l><l id="33">Quel péril, ou plutôt quel chagrin vous en chasse ?</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	5	HIPPOLYTE	HIPPOLYTE	<l id="34">Cet heureux temps n'est plus. Tout a changé de face</l><l id="35">Depuis que sur ces bords les dieux ont envoyé</l><l id="36">La fille de Minos et de Pasiphaé.</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	6	THÉRAMÈNE	THÉRAMÈNE	<l id="37">J'entends. De vos douleurs la cause m'est connue,</l><l id="38">Phèdre ici vous chagrine, et blesse votre vue.</l><l id="39">Dangereuse marâtre, à peine elle vous vit,</l><l id="40">Que votre exil d'abord signala son crédit. </l><l id="41">Mais sa haine sur vous autrefois attachée,</l><l id="42">Ou s'est évanouie, ou s'est bien relâchée.</l><l id="43">Et d'ailleurs, quels périls vous peut faire courir</l><l id="44">Une femme mourante, et qui cherche à mourir ?</l><l id="45">Phèdre atteinte d'un mal qu'elle s'obstine à taire, </l><l id="46">Lasse enfin d'elle-même, et du jour qui l'éclaire,</l><l id="47">Peut-elle contre vous former quelques desseins ?</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	7	HIPPOLYTE	HIPPOLYTE	<l id="48">Sa vaine inimitié n'est pas ce que je crains.</l><l id="49">Hippolyte en partant fuit une autre ennemie.</l><l id="50">Je fuis, je l'avouerai, cette jeune Aricie, </l><l id="51">Reste d'un sang fatal conjuré contre nous.</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	8	THÉRAMÈNE	THÉRAMÈNE	<l id="52">Quoi ! vous-même, Seigneur, la persécutez-vous ?</l><l id="53">Jamais l'aimable soeur des cruels Pallantides</l><l id="54">Trempa-t-elle aux complots de ses frères perfides ?</l><l id="55">Et devez-vous haïr ses innocents appas ? </l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	9	HIPPOLYTE	HIPPOLYTE	<l id="56">Si je la haïssais, je ne la fuirais pas.</l>	
PHÈDRE, TRAGÉDIE	ACTE I	1	SCÈNE PREMIÈRE	1	10	THÉRAMÈNE	THÉRAMÈNE	<l id="57">Seigneur, m'est-il permis d'expliquer votre fuite ?</l><l id="58">Pourriez-vous n'être plus ce superbe Hippolyte,</l><l id="59">Implacable ennemi des amoureuses lois,</l><l id="60">Et d'un joug que Thésée a subi tant de fois ? </l><l id="61">Vénus par votre orgueil si longtemps méprisée,</l><l id="62">Voudrait-elle à la fin justifier Thésée ?</l><l id="63">Et vous mettant au rang du reste des mortels,</l><l id="64">Vous a-t-elle forcé d'encenser ses autels ?</l><l id="65" part="i">Aimeriez-vous, Seigneur ? </l>	
