piece	acte	scene	replique	PHÉDRIE	PARMÉNON	THAÏS	GNATON CONDUISANT PAMPHILE	THRASTON	GNATON	THRASON	PARMÉNON AMENANT CHERÉE	PARMENON	 	DAMIS	CHERÉE	DÉGUISÉ EN EUNUQUE	PAMPHILE	PYTHIE	DORUS	VÉRITABLE EUNUQUE	DORIE	CHRANÈS	CHREMÈS	CHÉRÉE	CHRAMÈS	SYRISCE	DONAX	SANGA	SIMALION	ET AUTRES PERSONNAGES MUETS
L'EUNUQUE, COMÉDIE.	I	I	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	19	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	21	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	26	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	29	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	I	32	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	40	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	41	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	42	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	43	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'EUNUQUE, COMÉDIE.	I	II	45	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
