piece	acte	scene	replique	id	nom	texte	didascalie
L'EUNUQUE, COMÉDIE.	I	I	1	PARMENON	PARMENON	 <l id='1'>Hé bien ! On vous a dit qu'elle était empêchée :</l> <l id='2'>Est-ce là le sujet dont votre âme est touchée ?</l> <l id='3'>Peu de chose en amour alarme nos esprits. </l><l id='4'>Mais il n'est pas besoin d'excuser ce mépris ; </l><l id='5'>Vous n'écoutez que trop un discours qui vous flatte. </l>	
L'EUNUQUE, COMÉDIE.	I	I	2	PHÉDRIE	PHÉDRIE	<l id='6'>Quoi ! Je pourrais encor brûler pour cette ingrate </l><l id='7'>Qui, pour prix de mes voeux, pour fruit de mes travaux, </l><l id='8'>Me ferme son logis, et l'ouvre à mes rivaux ! </l><l id='9'>Non, non, j'ai trop de coeur pour souffrir cette injure ; </l><l id='10'>Que Thaïs à son tour me presse et me conjure, </l><l id='11'>Se serve des appas d'un oeil toujours vainqueur, </l><l id='12'>M'ouvre non seulement son logis, mais son coeur. </l><l id='13'>J'aimerais mieux mourir qu'y rentrer de ma vie. </l><l id='14'>D'assez d'autres beautés Athènes est remplie : </l><l id='15'>De ce pas à Thaïs va le faire savoir, </l><l id='16' part='i'>Et lui dis de ma part... </l>	
L'EUNUQUE, COMÉDIE.	I	I	3	PARMENON	PARMENON	  <l id='16' part='f'>Adieu, jusqu'au revoir. </l>	
L'EUNUQUE, COMÉDIE.	I	I	4	PHÉDRIE	PHÉDRIE	<l id='17'>Non, non, dis-lui plutôt adieu pour cent années. </l>	
L'EUNUQUE, COMÉDIE.	I	I	5	PARMENON	PARMENON	  <l id='18'>Peut-être pour cent ans prenez-vous cent journées ; </l><l id='19'>Peut-être pour cent jours prenez-vous cent moments ; </l><l id='20'>Car c'est souvent ainsi que comptent les amants. </l>	
L'EUNUQUE, COMÉDIE.	I	I	6	PHÉDRIE	PHÉDRIE	<l id='21'>Je saurai désormais compter d'une autre sorte. </l>	
L'EUNUQUE, COMÉDIE.	I	I	7	PARMENON	PARMENON	  <l id='22'>Pour s'éteindre si tôt votre flamme est trop forte. </l>	
L'EUNUQUE, COMÉDIE.	I	I	8	PHÉDRIE	PHÉDRIE	<l id='23'>Un si juste dépit peut l'éteindre en un jour. </l>	
L'EUNUQUE, COMÉDIE.	I	I	9	PARMENON	PARMENON	  <l id='24'>Plus ce dépit est grand, plus il marque d'amour. </l><l id='25'>Croyez-moi, j'ai de l'âge et quelque expérience : </l><l id='26'>Vous l'irez tantôt voir, rempli d'impatience ; </l><l id='27'>L'amour l'emportera sur cet affront reçu ; </l><l id='28'>Et ce puissant dépit, que vous avez conçu, </l><l id='29'>S'effacera d'abord par la moindre des larmes </l><l id='30'>Que d'un oeil quasi sec, mais d'un oeil plein de charmes, </l><l id='31'>En pressant sa paupière, elle fera sortir, </l><l id='32'>Savante en l'art des pleurs, comme en l'art de mentir. </l><l id='33'>Et n'accusez que vous si Thaïs en abuse, </l><l id='34'>Qui, dès le premier mot de pardon et d'excuse, </l><l id='35'>Lui direz bonnement l'état de votre coeur ; </l><l id='36'>Que bientôt du dépit l'amour s'est fait vainqueur ; </l><l id='37'>Que vous en seriez mort s'il avait fallu feindre. </l><l id='38'>Quoi ! deux jours sans vous voir ? Ah ! C'est trop se contraindre,</l><l id='39'>Je n'en puis plus, Thaïs : vous êtes mon désir, </l><l id='40'>Mon seul objet, mon tout ; loin de vous, quel plaisir ? </l><l id='41'>Cela dit, c'en est fait, votre perte est certaine. </l><l id='42'>Cette femme aussitôt, fine, adroite et hautaine, </l><l id='43'>Saura mettre à profit votre peu de vertu, </l><l id='44'>Et triompher de vous, vous voyant abattu. </l><l id='45'>Vous n'en pourrez tirer que des promesses vaines, </l><l id='46'>Point de soulagement ni de fin dans vos peines, </l><l id='47'>Rien que discours trompeurs, rien que feux inconstants ; </l><l id='48'>C'est pourquoi songez-y tandis qu'il en est temps : </l><note type="L">Rembarquer : se dit aussi figurément en morale. Il s'était bien tiré de cette affaire, de cette ferme, mais il s'y est rembarqué tout de nouveau. [F]</note><l id='49'>Car, étant rembarqué, prétendre qu'elle agisse </l><l id='50'>Plus selon la raison que selon son caprice, </l><l id='51'>C'est fort mal reconnaître et son sexe et l'amour ; </l><l id='52'>Ce ne sont que procès, que querelles d'un jour, </l><l id='53'>Que trêves d'un moment, ou quelque paix fourrée, </l><l id='54'>Injure aussitôt faite, aussitôt réparée, </l><l id='55'>Soupçons sans fondement, enfin rien d'assuré. </l><l id='56'>Il vaut mieux n'aimer plus, tout bien considéré. </l>	
L'EUNUQUE, COMÉDIE.	I	I	10	PHÉDRIE	PHÉDRIE	<l id='57'>L'amour a ses plaisirs aussi bien que ses peines. </l>	
