piece	div1_nom	div1_num	div2_nom	div2_num	pos	VALERE	ELISE	CLEANTE	HARPAGON	LA-FLECHE	MAITRE SIMON	FROSINE	DAME CLAUDE	MAITRE-JACQUES	BRINDAVOINE	LA-MERLUCHE	MARIANE	COMMISSAIRE	LE CLERC	ANSELME
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	17	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	18	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	19	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	20	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	21	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	22	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	23	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	24	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	25	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	26	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	27	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	28	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	29	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	30	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	31	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	32	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	33	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	34	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE II	2	35	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	36	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	37	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	38	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	39	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	40	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	41	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	42	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	43	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	44	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	45	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	46	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	47	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	48	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	49	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	50	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	51	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	52	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	53	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	54	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	55	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	56	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	57	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	58	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	59	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	60	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	61	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	62	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	63	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	64	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	65	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	66	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	67	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	68	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	69	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	70	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	71	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	72	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	73	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	74	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	75	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	76	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	77	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	78	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	79	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	80	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	81	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	82	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	83	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	84	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	85	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	86	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	87	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	88	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	89	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	90	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	91	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	92	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	93	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	94	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	95	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	96	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	97	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	98	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	99	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	100	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE III	3	101	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	102	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	103	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	104	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	105	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	106	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	107	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	108	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	109	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	110	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	111	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	112	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	113	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	114	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	115	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	116	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	117	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L´AVARE, COMÉDIE	ACTE I	1	SCÈNE IV	4	118	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
