piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	1	VALERE	VALÈRE	Hé quoi ? Charmante Élise, vous devenez mélancolique, après les obligeantes assurances que vous avez eu la bonté de me donner de votre foi ? Je vous vois soupirer, hélas ! Au milieu de ma joie ! Est-ce du regret, dites-moi, de m'avoir fait heureux, et vous repentez-vous de cet engagement où mes feux ont pu vous contraindre ? 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	2	ELISE	ÉLISE	Non, Valère, je ne puis pas me repentir de tout ce que je fais pour vous. Je m'y sens entraîner par une trop douce puissance, et je n'ai pas même la force de souhaiter que les choses ne fussent pas. Mais, à vous dire vrai, le succès me donne de l'inquiétude ; et je crains fort de vous aimer un peu plus que je ne devrais. 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	3	VALERE	VALÈRE	Hé ! Que pouvez-vous craindre, Élise, dans les bontés que vous avez pour moi ? 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	4	ELISE	ÉLISE	Hélas ! Cent choses à la fois : l'emportement d'un père, les reproches d'une famille, les censures du monde ; mais plus que tout, Valère, le changement de votre coeur, et cette froideur criminelle dont ceux de votre sexe payent le plus souvent les témoignages trop ardents d'une innocente amour. 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	5	VALERE	VALÈRE	Ah ! Ne me faites pas ce tort, de juger de moi par les autres. Soupçonnez-moi de tout, Élise, plutôt que de manquer à ce que je vous dois : je vous aime trop pour cela, et mon amour pour vous durera autant que ma vie. 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	6	ELISE	ÉLISE	Ah ! Valère, chacun tient les mêmes discours. Tous les hommes sont semblables par les paroles ; et ce n'est que les actions qui les découvrent différents. 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	7	VALERE	VALÈRE	Puisque les seules actions font connaître ce que nous sommes, attendez donc au moins à juger de mon coeur par elles, et ne me cherchez point des crimes dans les injustes craintes d'une fâcheuse prévoyance. Ne m'assassinez point, je vous prie, par les sensibles coups d'un soupçon outrageux, et donnez-moi le temps de vous convaincre, par mille et mille preuves, de l'honnêteté de mes feux. 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	8	ELISE	ÉLISE	Hélas ! Qu'avec facilité on se laisse persuader par les personnes que l'on aime ! Oui, Valère, je tiens votre coeur incapable de m'abuser. Je crois que vous m'aimez d'un véritable amour, et que vous me serez fidèle ; je n'en veux point du tout douter, et je retranche mon chagrin aux appréhensions du blâme qu'on pourra me donner. 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	9	VALERE	VALÈRE	Mais pourquoi cette inquiétude ? 	
L'AVARE, COMÉDIE	ACTE I	1	SCÈNE I	1	10	ELISE	ÉLISE	Je n'aurais rien à craindre, si tout le monde vous voyait des yeux dont je vous vois, et je trouve en votre personne de quoi avoir raison aux choses que je fais pour vous. Mon coeur, pour sa défense, a tout votre mérite, appuyé du secours d'une reconnaissance où le Ciel m'engage envers vous. Je me représente à toute heure ce péril étonnant qui commença de nous offrir aux regards l'un de l'autre ; cette générosité surprenante qui vous fit risquer votre vie, pour dérober la mienne à la fureur des ondes ; ces soins pleins de tendresse que vous me fîtes éclater après m'avoir tirée de l'eau, et les hommages assidus de cet ardent amour que ni le temps ni les difficultés n'ont rebuté, et qui, vous faisant négliger et parents et patrie, arrête vos pas en ces lieux, y tient en ma faveur votre fortune déguisée, et vous a réduit, pour me voir, à vous revêtir de l'emploi de domestique de mon père. Tout cela fait chez moi sans doute un merveilleux effet ; et c'en est assez à mes yeux pour me justifier l'engagement où j'ai pu consentir ; mais ce n'est pas assez peut-être pour le justifier aux autres, et je ne suis pas sûre qu'on entre dans mes sentiments. 	
