piece	div1_nom	div1_num	div2_nom	div2_num	pos	CHRYSALDE	ARNOLPHE	GEORGETTE	ALAIN	AGNÈS	HORACE	GORGETTE	NOTAIRE	ENRIQUE	ORONTE
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	1	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	2	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	3	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	4	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	5	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	6	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	7	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	8	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	9	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	10	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	11	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	12	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	13	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	14	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	15	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	16	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	17	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	18	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	19	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	20	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	21	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	22	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	23	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	24	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	25	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	26	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	27	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	28	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	29	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	30	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	31	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	32	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	33	1	1	0	0	0	0	0	0	0	0
