piece	acte	scene	replique	id	nom	texte	didascalie
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	1	CHRYSALDE	CHRYSALDE	<l id="1">Vous venez, dites-vous, pour lui donner la main ?</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	2	ARNOLPHE	ARNOLPHE	<l id="2">Oui, je veux terminer la chose dans demain.</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	3	CHRYSALDE	CHRYSALDE	<l id="3">Nous sommes ici seuls ; et l'on peut, ce me semble,</l><l id="4">Sans craindre d'être ouïs, y discourir ensemble :</l><l id="5">Voulez-vous qu'en ami je vous ouvre mon coeur ?</l><l id="6">Votre dessein pour vous me fait trembler de peur ;</l><l id="7">Et de quelque façon que vous tourniez l'affaire,</l><l id="8">Prendre femme est à vous un coup bien téméraire.</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	4	ARNOLPHE	ARNOLPHE	<l id="9">Il est vrai, notre ami. Peut-être que chez vous</l><l id="10">Vous trouvez des sujets de craindre pour chez nous ;</l><l id="11">Et votre front, je crois, veut que du mariage</l><l id="12">Les cornes soient partout l'infaillible apanage.</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	5	CHRYSALDE	CHRYSALDE	<l id="13">Ce sont coups du hasard, dont on n'est point garant,</l><l id="14">Et bien sot, ce me semble, est le soin qu'on en prend.</l><l id="15">Mais quand je crains pour vous, c'est cette raillerie</l><l id="16">Dont cent pauvres maris ont souffert la furie ;</l><l id="17">Car enfin vous savez qu'il n'est grands ni petits</l><l id="18">Que de votre critique on ait vus garantis ;</l><l id="19">Car vos plus grands plaisirs sont, partout où vous êtes,</l><l id="20">De faire cent éclats des intrigues secrètes...</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	6	ARNOLPHE	ARNOLPHE	<l id="21">Fort bien : est-il au monde une autre ville aussi</l><l id="22">Où l'on ait des maris si patients qu'ici ?</l><l id="23">Est-ce qu'on n'en voit pas, de toutes les espèces,</l><l id="24">Qui sont accommodés chez eux de toutes pièces ?</l><l id="25">L'un amasse du bien, dont sa femme fait part</l><l id="26">À ceux qui prennent soin de le faire cornard ;</l><l id="27">L'autre un peu plus heureux, mais non pas moins infâme,</l><l id="28">Voit faire tous les jours des présents à sa femme,</l><l id="29">Et d'aucun soin jaloux n'a l'esprit combattu,</l><l id="30">Parce qu'elle lui dit que c'est pour sa vertu.</l><l id="31">L'un fait beaucoup de bruit qui ne lui sert de guères ;</l><l id="32">L'autre en toute douceur laisse aller les affaires,</l><l id="33">Et voyant arriver chez lui le damoiseau,</l><l id="34">Prend fort honnêtement ses gants et son manteau.</l><l id="35">L'une de son galant, en adroite femelle,</l><l id="36">Fait fausse confidence à son époux fidèle,</l><l id="37">Qui dort en sûreté sur un pareil appas,</l><l id="38">Et le plaint, ce galant, des soins qu'il ne perd pas ;</l><l id="39">L'autre, pour se purger de sa magnificence,</l><l id="40">Dit qu'elle gagne au jeu l'argent qu'elle dépense ;</l><l id="41">Et le mari benêt, sans songer à quel jeu,</l><l id="42">Sur les gains qu'elle fait rend des grâces à Dieu.</l><l id="43">Enfin, ce sont partout des sujets de satire ;</l><l id="44">Et comme spectateur ne puis-je pas en rire ?</l><l id="45" part="i">Puis-je pas de nos sots... ?</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	7	CHRYSALDE	CHRYSALDE	<l id="45" part="f">Oui ; mais qui rit d'autrui</l><l id="46">Doit craindre qu'en revanche on rie aussi de lui.</l><l id="47">J'entends parler le monde ; et des gens se délassent</l><l id="48">À venir débiter les choses qui se passent ;</l><l id="49">Mais, quoi que l'on divulgue aux endroits où je suis,</l><l id="50">Jamais on ne m'a vu triompher de ces bruits.</l><l id="51">J'y suis assez modeste ; et, bien qu'aux occurrences</l><l id="52">Je puisse condamner certaines tolérances,</l><l id="53">Que mon dessein ne soit de souffrir nullement</l><l id="54">Ce que d'aucuns maris souffrent paisiblement,</l><l id="55">Pourtant je n'ai jamais affecté de le dire ;</l><l id="56">Car enfin il faut craindre un revers de satire,</l><l id="57">Et l'on ne doit jamais jurer sur de tels cas</l><l id="58">De ce qu'on pourra faire, ou bien ne faire pas.</l><l id="59">Ainsi, quand à mon front, par un sort qui tout mène,</l><l id="60">Il serait arrivé quelque disgrâce humaine,</l><l id="61">Après mon procédé, je suis presque certain</l><l id="62">Qu'on se contentera de s'en rire sous main ;</l><l id="63">Et peut-être qu'encore j'aurai cet avantage,</l><l id="64">Que quelques bonnes gens diront que c'est dommage.</l><l id="65">Mais de vous, cher compère, il en est autrement :</l><l id="66">Je vous le dis encore, vous risquez diablement.</l><l id="67">Comme sur les maris accusés de souffrance</l><l id="68">De tout temps votre langue a daubé d'importance,</l><l id="69">Qu'on vous a vu contre eux un diable déchaîné,</l><l id="70">Vous devez marcher droit pour n'être point berné ;</l><l id="71">Et s'il faut que sur vous on ait la moindre prise,</l><l id="72">Gare qu'aux carrefours on ne vous tympanise,</l><note type="L">Tympaniser : signifie crier hautement et publiquement contre quelqu'un. Voir "La Fausse antipathie" de Nivelle la Chaussée. </note><l id="73" part="i">Et...</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	8	ARNOLPHE	ARNOLPHE	<l id="73" part="f">Mon Dieu, notre ami, ne vous tourmentez point :</l><l id="74">Bien huppé qui pourra m'attraper sur ce point.</l><l id="75">Je sais les tours rusés et les subtiles trames</l><l id="76">Dont pour nous en planter savent user les femmes,</l><l id="77">Et comme on est dupé par leurs dextérités.</l><l id="78">Contre cet accident j'ai pris mes sûretés ;</l><l id="79">Et celle que j'épouse a toute l'innocence</l><l id="80">Qui peut sauver mon front de maligne influence.</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	9	CHRYSALDE	CHRYSALDE	<l id="81">Et que prétendez-vous qu'une sotte, en un mot...</l>	
L'ÉCOLE DES FEMMES, COMÉDIE.	I	I	10	ARNOLPHE	ARNOLPHE	<l id="82">Épouser une sotte est pour n'être point sot.</l><l id="83">Je crois, en bon chrétien, votre moitié fort sage ;</l><l id="84">Mais une femme habile est un mauvais présage ;</l><l id="85">Et je sais ce qu'il coûte à de certaines gens</l><l id="86">Pour avoir pris les leurs avec trop de talents.</l><l id="87">Moi, j'irais me charger d'une spirituelle</l><l id="88">Qui ne parlerait rien que cercle et que ruelle,</l><l id="89">Qui de prose et de vers ferait de doux écrits,</l><l id="90">Et que visiteraient marquis et beaux esprits,</l><l id="91">Tandis que, sous le nom du mari de madame,</l><l id="92">Je serais comme un saint que pas un ne réclame ?</l><l id="93">Non, non, je ne veux point d'un esprit qui soit haut ;</l><note type="C">Le vers 94 est cité dans le Portait du peintre de Boursault, v. 276.</note><l id="94">Et femme qui compose en sait plus qu'il ne faut.</l><l id="95">Je prétends que la mienne, en clartés peu sublime,</l><l id="96">Même ne sache pas ce que c'est qu'une rime ;</l><l id="97">Et s'il faut qu'avec elle on joue au corbillon</l><l id="98">Et qu'on vienne à lui dire à son tour : « Qu'y met-on ? »</l><l id="99">Je veux qu'elle réponde : « Une tarte à la crème » ;</l><l id="100">En un mot, qu'elle soit d'une ignorance extrême ;</l><l id="101">Et c'est assez pour elle, à vous en bien parler,</l><l id="102">De savoir prier Dieu, m'aimer, coudre et filer.</l>	
