piece	div1_nom	div1_num	div2_nom	div2_num	pos	__NONE__	FLORE	PAN	CLIMÈNE	DAPHNÉ	TIRCIS	DORILAS	DEUX ZÉPHIRS	TROUPE DE BERGÈRES ET DE BERGERS	TOINETTE	ARGAN	ANGÉLIQUE	BÉLINE	LE NOTAIRE	CLÉANTE	MONSIEUR DIAFOIRUS	THOMAS DIAFOIRUS	LOUISON	BÉRALDE	MONSIEUR FLEURANT	UNE SERINGUE À LA MAIN	MONSIEUR PURGON	EN MÉDECIN
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	__none__	__none__	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	__none__	__none__	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	3	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	4	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	5	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	6	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	7	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	8	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	9	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	10	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
