piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	__none__	__none__	1	__none__	__none__	Après les glorieuses fatigues et les exploits victorieux de notre auguste monarque, il est bien juste que tous ceux qui se mêlent d'écrire travaillent ou à ses louanges, ou à son divertissement. C'est ce qu'ici l'on a voulu faire, et ce prologue est un essai des louanges de ce grand prince, qui donne entrée à la comédie du Malade imaginaire, dont le projet a été fait pour le délasser de ses nobles travaux. 	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	__none__	__none__	2	__none__	__none__	La décoration représente un lieu champêtre fort agréable.	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	3	FLORE	FLORE	<l id='1'>Quittez, quittez vos troupeaux, </l><l id='2'>Venez Bergers, venez Bergères, </l><l id='3'>Accourez, accourez sous ces tendres ormeaux : </l><l id='4'>Je viens vous annoncer des nouvelles bien chères, </l><l id='5'>Et réjouir tous ces hameaux. </l><l id='6'>Quittez, quittez vos troupeaux, </l><l id='7'>Venez Bergers, venez Bergères, </l><l id='8'>Accourez, accourez, sous ces tendres ormeaux. </l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	4	CLIMÈNE et DAPHNÉ	CLIMÈNE et DAPHNÉ	<l id='9'>Berger laissons là tes feux, </l><l id='10'>Voilà Flore qui nous appelle. </l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	5	TIRCIS_DORILAS	TIRCIS et DORILAS	<l id='11'>Mais au moins dis-moi, cruelle.</l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	6	TIRCIS	TIRCIS	<l id='12'>Si d'un peu d'amitié tu payeras mes voeux ? </l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	7	DORILAS	DORILAS	<l id='13'>Si tu seras sensible à mon ardeur fidèle ? </l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	8	CLIMÈNE et DAPHNÉ	CLIMÈNE et DAPHNÉ	<l id='14'>Voilà Flore qui nous appelle. </l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	9	TIRCIS et DORILAS	TIRCIS et DORILAS	<l id='15'>Ce n'est qu'un mot, un mot, un seul mot que je veux. </l>	
LE MALADE IMAGINAIRE, COMÉDIE.	LE PROLOGUE	1	ÉGLOGUE EN MUSIQUE ET EN DANSE	1	10	TIRCIS	TIRCIS	<l id='16'>Languirai-je toujours dans ma peine mortelle ? </l>	
