piece	div1_nom	div1_num	div2_nom	div2_num	pos	SGANARELLE	MARTINE	MONSIEUR-ROBERT	VALÈRE	LUCAS	GÉRONTE	JACQUELINE	LUCINDE	LÉANDRE	THIBAUT	PERRIN
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	1	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	2	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	3	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	4	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	5	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	6	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	7	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	8	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	9	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	10	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	11	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	12	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	13	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	14	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	15	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	16	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	17	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	18	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	19	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	20	1	1	0	0	0	0	0	0	0	0	0
