piece	acte	scene	replique	id	nom	texte	didascalie
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	1	SGANARELLE	SGANARELLE	Non, je te dis que je n'en veux rien faire : et que c'est à moi de parler et d'être le maître.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	2	MARTINE	MARTINE	Et je te dis, moi, que je veux que tu vives à ma fantaisie : et que je ne me suis point mariée avec toi pour souffrir tes fredaines.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	3	SGANARELLE	SGANARELLE	Ô la grande fatigue que d'avoir une femme  : et qu'Aristote a bien raison, quand il dit qu'une femme est pire qu'un Démon !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	4	MARTINE	MARTINE	Voyez un peu l'habile homme, avec son benêt d'Aristote !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	5	SGANARELLE	SGANARELLE	Oui, habile homme : trouve-moi un faiseur de fagots qui sache, comme moi, raisonner des choses, qui ait servi six ans, un fameux médecin, et qui ait su, dans son jeune âge, son rudiment par coeur.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	6	MARTINE	MARTINE	Peste du fou fieffé !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	7	SGANARELLE	SGANARELLE	Peste de la carogne !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	8	MARTINE	MARTINE	Que maudit soit l'heure et le jour, où je m'avisai d'aller dire oui.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	9	SGANARELLE	SGANARELLE	Que maudit soit le bec cornu de notaire qui me fit signer ma ruine.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	10	MARTINE	MARTINE	C'est bien à toi, vraiment, à te plaindre de cette affaire : devrais-tu être un seul moment sans rendre grâce au Ciel de m'avoir pour ta femme, et méritais-tu d'épouser une personne comme moi ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	11	SGANARELLE	SGANARELLE	Il est vrai que tu me fis trop d'honneur : et que j'eus lieu de me louer la première nuit de nos noces ! Hé ! Morbleu, ne me fais point parler là-dessus : je dirais de certaines choses...	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	12	MARTINE	MARTINE	Quoi ? Que dirais-tu ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	13	SGANARELLE	SGANARELLE	Baste, laissons là ce chapitre, il suffit que nous savons ce que nous savons : et que tu fus bien heureuse de me trouver.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	14	MARTINE	MARTINE	Qu'appelles-tu bien heureuse, de te trouver un homme qui me réduit à l'hôpital, un débauché, un traître, qui me mange tout ce que j'ai ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	15	SGANARELLE	SGANARELLE	Tu as menti, j'en bois une partie.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	16	MARTINE	MARTINE	Qui me vend, pièce à pièce, tout ce qui est dans le logis.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	17	SGANARELLE	SGANARELLE	C'est vivre de ménage.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	18	MARTINE	MARTINE	Qui m'a ôté jusqu'au lit que j'avais.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	19	SGANARELLE	SGANARELLE	Tu t'en lèveras plus matin.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	20	MARTINE	MARTINE	Enfin qui ne laisse aucun meuble dans toute la maison.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	21	SGANARELLE	SGANARELLE	On en déménage plus aisément.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	22	MARTINE	MARTINE	Et qui du matin jusqu'au soir, ne fait que jouer, et que boire.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	23	SGANARELLE	SGANARELLE	C'est pour ne me point ennuyer.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	24	MARTINE	MARTINE	Et que veux-tu pendant ce temps, que je fasse avec ma famille [?]	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	25	SGANARELLE	SGANARELLE	Tout ce qu'il te plaira.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	26	MARTINE	MARTINE	J'ai quatre pauvres petits enfants sur les bras.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	27	SGANARELLE	SGANARELLE	Mets-les à terre.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	28	MARTINE	MARTINE	Qui me demandent à toute heure, du pain.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	29	SGANARELLE	SGANARELLE	Donne-leur le fouet[.] Quand j'ai bien bu, et bien mangé, je veux que tout le monde soit saoul dans ma maison.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	30	MARTINE	MARTINE	Et tu prétends ivrogne, que les choses aillent toujours de même ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	31	SGANARELLE	SGANARELLE	Ma femme, allons tout doucement, s'il vous plaît.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	32	MARTINE	MARTINE	Que j'endure éternellement tes insolences, et tes débauches ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	33	SGANARELLE	SGANARELLE	Ne nous emportons point ma femme.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	34	MARTINE	MARTINE	Et que je ne sache pas trouver le moyen de te ranger à ton devoir ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	35	SGANARELLE	SGANARELLE	Ma femme, vous savez que je n'ai pas l'âme endurante : et que j'ai le bras assez bon.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	36	MARTINE	MARTINE	Je me moque de tes menaces.	
