piece	acte	scene	replique	PHILINTE	ALCESTE	ORONTE	CÉLIMÈNE	BASQUE	ÉLIANTE	ACASTE	CLITANDRE	GARDE	ARSINOÉ	DU BOIS
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	1	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	2	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	3	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	4	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	5	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	6	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	7	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	8	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	9	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	10	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	11	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	12	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	13	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	14	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	15	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	16	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	17	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	18	1	1	0	0	0	0	0	0	0	0	0
LE MISANTHROPE ou L'ATRABILAIRE AMOUREUX, COMÉDIE	I	I	19	1	1	0	0	0	0	0	0	0	0	0
