piece	acte	scene	replique	HIPPOLYTE	THÉRAMÈNE	OENONE	PHÈDRE	PANOPE	ARICIE	ISMÈNE	THÉSÉE	ARACIE	GARDES
PHÈDRE, TRAGÉDIE	I	I	1	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	2	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	3	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	4	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	5	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	6	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	7	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	8	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	9	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	10	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	11	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	12	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	13	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	14	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	I	15	1	1	0	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	II	16	1	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	II	17	1	1	1	0	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	18	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	19	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	20	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	21	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	22	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	23	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	24	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	25	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	26	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	27	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	28	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	29	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	30	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	31	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	32	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	33	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	34	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	35	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	36	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	37	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	38	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	39	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	40	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	41	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	42	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	43	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	44	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	45	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	46	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	47	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	48	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	49	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	50	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	51	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	52	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	53	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	54	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	55	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	56	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	57	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	58	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	59	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	III	60	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	IV	61	0	0	1	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	IV	62	0	0	1	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	IV	63	0	0	1	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	IV	64	0	0	1	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	IV	65	0	0	1	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	IV	66	0	0	1	1	1	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	V	67	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	I	V	68	0	0	1	1	0	0	0	0	0	0
PHÈDRE, TRAGÉDIE	II	I	69	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	70	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	71	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	72	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	73	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	74	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	75	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	76	0	0	0	0	0	1	1	0	0	0
PHÈDRE, TRAGÉDIE	II	I	77	0	0	0	0	0	1	1	0	0	0
