piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
Macbeth	Act 1	1	__none__	__none__	1	__none__	__none__	__none__	A desert place. Thunder and lightning.
Macbeth	Act 1	1	__none__	__none__	2	__none__	__none__	__none__	Enter three Witches.
Macbeth	Act 1	1	Scene 1	1	3	mac-first-witch.	First Witch	                        <l xml:id="sha-mac101001" n="1">              When shall we three meet again            </l>                        <l xml:id="sha-mac101002" n="2">              In thunder, lightning, or in rain?            </l>                    	
Macbeth	Act 1	1	Scene 1	1	4	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac101003" n="3">              When the hurlyburly's done,            </l>                        <l xml:id="sha-mac101004" n="4">              When the battle's lost and won.            </l>                    	
Macbeth	Act 1	1	Scene 1	1	5	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac101005" n="5">              That will be ere the set of sun.            </l>                    	
Macbeth	Act 1	1	Scene 1	1	6	mac-first-witch.	First Witch	                        <l xml:id="sha-mac101006I" n="6">              Where the place?            </l>                    	
Macbeth	Act 1	1	Scene 1	1	7	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac101006F" n="6">              Upon the heath.            </l>                    	
Macbeth	Act 1	1	Scene 1	1	8	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac101007" n="7">              There to meet with Macbeth.            </l>                    	
Macbeth	Act 1	1	Scene 1	1	9	mac-first-witch.	First Witch	                        <l xml:id="sha-mac101008" n="8">              I come, Graymalkin!            </l>                    	
Macbeth	Act 1	1	Scene 1	1	10	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac101009" n="9">              Paddock calls.            </l>                    	
Macbeth	Act 1	1	Scene 1	1	11	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac101010" n="10">              Anon.            </l>                    	
Macbeth	Act 1	1	Scene 1	1	12	mac-first-witch,mac-sec.-witch,mac-third-witch	All	                        <l xml:id="sha-mac101011" n="11">              Fair is foul, and foul is fair:            </l>                        <l xml:id="sha-mac101012" n="12">              Hover through the fog and filthy air.              <didascalie>Exeunt.</didascalie></l>                    	
Macbeth	Act 1	1	__none__	__none__	13	__none__	__none__	__none__	A camp near Forres. Alarum within.
Macbeth	Act 1	1	__none__	__none__	14	__none__	__none__	__none__	Enter DUNCAN, MALCOLM, DONALBAIN, LENNOX, with Attendants, meeting a bleeding Sergeant.
Macbeth	Act 1	1	Scene 2	2	15	Duncan	Duncan	                        <l xml:id="sha-mac102001" n="1">              What bloody man is that? He can report,            </l>                        <l xml:id="sha-mac102002" n="2">              As seemeth by his plight, of the revolt            </l>                        <l xml:id="sha-mac102003I" n="3">              The newest state.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	16	Malcolm	Malcolm	                        <l xml:id="sha-mac102003F" n="3">              This is the sergeant            </l>                        <l xml:id="sha-mac102004" n="4">              Who like a good and hardy soldier fought            </l>                        <l xml:id="sha-mac102005" n="5">              'Gainst my captivity. Hail, brave friend!            </l>                        <l xml:id="sha-mac102006" n="6">              Say to the king the knowledge of the broil            </l>                        <l xml:id="sha-mac102007I" n="7">              As thou didst leave it.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	17	mac-ser.	Sergeant	                        <l xml:id="sha-mac102007F" n="7">              Doubtful it stood;            </l>                        <l xml:id="sha-mac102008" n="8">              As two spent swimmers, that do cling together            </l>                        <l xml:id="sha-mac102009" n="9">              And choke their art. The merciless Macdonwald —            </l>                        <l xml:id="sha-mac102010" n="10">              Worthy to be a rebel, for to that            </l>                        <l xml:id="sha-mac102011" n="11">              The multiplying villainies of nature            </l>                        <l xml:id="sha-mac102012" n="12">              Do swarm upon him — from the western isles            </l>                        <l xml:id="sha-mac102013" n="13">              Of kerns and gallowglasses is supplied;            </l>                        <l xml:id="sha-mac102014" n="14">              And fortune, on his damned quarrel smiling,            </l>                        <l xml:id="sha-mac102015" n="15">              Showed like a rebel's whore: but all's too weak:            </l>                        <l xml:id="sha-mac102016" n="16">              For brave Macbeth — well he deserves that name —            </l>                        <l xml:id="sha-mac102017" n="17">              Disdaining fortune, with his brandished steel,            </l>                        <l xml:id="sha-mac102018" n="18">              Which smoked with bloody execution,            </l>                        <l xml:id="sha-mac102019" n="19">              Like valour's minion carved out his passage            </l>                        <l xml:id="sha-mac102020" n="20">              Till he faced the slave;            </l>                        <l xml:id="sha-mac102021" n="21">              Which ne'er shook hands, nor bade farewell to him,            </l>                        <l xml:id="sha-mac102022" n="22">              Till he unseamed him from the nave to the chaps,            </l>                        <l xml:id="sha-mac102023" n="23">              And fixed his head upon our battlements.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	18	Duncan	Duncan	                        <l xml:id="sha-mac102024" n="24">              O valiant cousin! worthy gentleman!            </l>                    	
Macbeth	Act 1	1	Scene 2	2	19	mac-ser.	Sergeant	                        <l xml:id="sha-mac102025" n="25">              As whence the sun 'gins his reflection            </l>                        <l xml:id="sha-mac102026" n="26">              Shipwracking storms and direful thunders break,            </l>                        <l xml:id="sha-mac102027" n="27">              So from that spring whence comfort seemed to come            </l>                        <l xml:id="sha-mac102028" n="28">              Discomfort swells. Mark, king of Scotland, mark:            </l>                        <l xml:id="sha-mac102029" n="29">              No sooner justice had with valour armed            </l>                        <l xml:id="sha-mac102030" n="30">              Compelled these skipping kerns to trust their heels,            </l>                        <l xml:id="sha-mac102031" n="31">              But the Norweyan lord surveying vantage            </l>                        <l xml:id="sha-mac102032" n="32">              With furbished arms and new supplies of men            </l>                        <l xml:id="sha-mac102033I" n="33">              Began a fresh assault.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	20	Duncan	Duncan	                        <l xml:id="sha-mac102033F" n="33">              Dismayed not this            </l>                        <l xml:id="sha-mac102034I" n="34">              Our captains, Macbeth and Banquo?            </l>                    	
Macbeth	Act 1	1	Scene 2	2	21	mac-ser.	Sergeant	                        <l xml:id="sha-mac102034F" n="34">              Yes;            </l>                        <l xml:id="sha-mac102035" n="35">              As sparrows eagles, or the hare the lion.            </l>                        <l xml:id="sha-mac102036" n="36">              If I say sooth, I must report they were            </l>                        <l xml:id="sha-mac102037" n="37">              As cannons overcharged with double cracks, so they            </l>                        <l xml:id="sha-mac102038" n="38">              Doubly redoubled strokes upon the foe:            </l>                        <l xml:id="sha-mac102039" n="39">              Except they meant to bathe in reeking wounds,            </l>                        <l xml:id="sha-mac102040" n="40">              Or memorize another Golgotha,            </l>                        <l xml:id="sha-mac102041" n="41">              I cannot tell.            </l>                        <l xml:id="sha-mac102042" n="42">              But I am faint, my gashes cry for help.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	22	Duncan	Duncan	                        <l xml:id="sha-mac102043" n="43">              So well thy words become thee as thy wounds;            </l>                        <l xml:id="sha-mac102044" n="44">              They smack of honour both. Go get him surgeons.              <didascalie>Exit Sergeant, attended.</didascalie></l>                        <l xml:id="sha-mac102045I" n="45">              Who comes here?              <didascalie>Enter Ross.</didascalie></l>                    	
Macbeth	Act 1	1	Scene 2	2	23	Malcolm	Malcolm	                        <l xml:id="sha-mac102045F" n="45">              The worthy thane of Ross.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	24	Lennox	Lennox	                        <l xml:id="sha-mac102046" n="46">              What a haste looks through his eyes!            </l>                        <l xml:id="sha-mac102047" n="47">              So should he look            </l>                        <l xml:id="sha-mac102048I" n="48">              That seems to speak things strange.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	25	Ross	Ross	                        <l xml:id="sha-mac102048F" n="48">              God save the king!            </l>                    	
Macbeth	Act 1	1	Scene 2	2	26	Duncan	Duncan	                        <l xml:id="sha-mac102049I" n="49">              Whence camest thou, worthy thane?            </l>                    	
